month,amount,year
01/01/2018,36804,2018
01/02/2018,34781,2018
01/03/2018,39021,2018
01/04/2018,36857,2018
01/05/2018,39951,2018
01/06/2018,37421,2018
01/07/2018,39159,2018
01/08/2018,40554,2018
01/09/2018,38328,2018
01/10/2018,40612,2018
01/11/2018,13935,2018
01/01/2017,34252,2017
01/02/2017,32903,2017
01/03/2017,36076,2017
01/04/2017,36916,2017
01/05/2017,37807,2017
01/06/2017,36852,2017
01/07/2017,39751,2017
01/08/2017,40458,2017
01/09/2017,38588,2017
01/10/2017,38371,2017
01/11/2017,36524,2017
01/12/2017,35613,2017
01/01/2016,35335,2016
01/02/2016,33598,2016
01/03/2016,35533,2016
01/04/2016,34165,2016
01/05/2016,35381,2016
01/06/2016,33529,2016
01/07/2016,32775,2016
01/08/2016,33045,2016
01/09/2016,32972,2016
01/10/2016,33752,2016
01/11/2016,31069,2016
01/12/2016,32911,2016
01/01/2015,36255,2015
01/02/2015,33032,2015
01/03/2015,37129,2015
01/04/2015,37045,2015
01/05/2015,38402,2015
01/06/2015,36642,2015
01/07/2015,38534,2015
01/08/2015,37169,2015
01/09/2015,35481,2015
01/10/2015,36366,2015
01/11/2015,33703,2015
01/12/2015,32981,2015
01/01/2014,36318,2014
01/02/2014,34620,2014
01/03/2014,38790,2014
01/04/2014,38999,2014
01/05/2014,40462,2014
01/06/2014,38585,2014
01/07/2014,39503,2014
01/08/2014,38789,2014
01/09/2014,36592,2014
01/10/2014,37687,2014
01/11/2014,34083,2014
01/12/2014,33039,2014
01/01/2013,38238,2013
01/02/2013,34886,2013
01/03/2013,38524,2013
01/04/2013,38159,2013
01/05/2013,40163,2013
01/06/2013,39363,2013
01/07/2013,40744,2013
01/08/2013,40052,2013
01/09/2013,37583,2013
01/10/2013,40260,2013
01/11/2013,37325,2013
01/12/2013,38324,2013
01/01/2012,40460,2012
01/02/2012,40528,2012
01/03/2012,44765,2012
01/04/2012,43011,2012
01/05/2012,44637,2012
01/06/2012,43608,2012
01/07/2012,43499,2012
01/08/2012,45728,2012
01/09/2012,41215,2012
01/10/2012,40205,2012
01/11/2012,37454,2012
01/12/2012,39902,2012
01/01/2011,43049,2011
01/02/2011,39376,2011
01/03/2011,42775,2011
01/04/2011,43454,2011
01/05/2011,43647,2011
01/06/2011,42579,2011
01/07/2011,43622,2011
01/08/2011,44527,2011
01/09/2011,41290,2011
01/10/2011,43900,2011
01/11/2011,39823,2011
01/12/2011,42111,2011